"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","Ensmbl ID (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"1","ENSMUSG00000000001","14679","95773","Gnai3","Fly","38765","FBgn0001104","Galphai","","14","13.69","moderate","Yes","No","eggNOG, Isobase, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Galphai)    DRscDB Data: (Galphai)"
"1","ENSMUSG00000000001","14679","95773","Gnai3","Fly","36104","FBgn0001122","Galphao","","8","7.73","moderate","No","No","eggNOG, OrthoDB, OMA, OrthoFinder, orthoMCL, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Galphao)    DRscDB Data: (Galphao)"
"1","ENSMUSG00000000001","14679","95773","Gnai3","Fly","36385","FBgn0033756","CG17760","","7","6.83","moderate","No","No","eggNOG, OrthoDB, OMA, OrthoFinder, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (CG17760)    DRscDB Data: (CG17760)"
"1","ENSMUSG00000000001","14679","95773","Gnai3","Fly","246420","FBgn0050054","CG30054","","6","5.92","moderate","No","No","eggNOG, OrthoDB, OMA, OrthoFinder, SonicParanoid, SwiftOrtho","","Add","G2F details (CG30054)    DRscDB Data: (CG30054)"
"1","ENSMUSG00000000001","14679","95773","Gnai3","Fly","3355131","FBgn0000384","cta","","6","5.83","moderate","No","No","eggNOG, OrthoDB, OMA, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (cta)    DRscDB Data: (cta)"
"1","ENSMUSG00000000001","14679","95773","Gnai3","Fly","36384","FBgn0004435","Galphaq","","6","5.82","moderate","No","No","eggNOG, OMA, OrthoFinder, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Galphaq)    DRscDB Data: (Galphaq)"
"1","ENSMUSG00000000001","14679","95773","Gnai3","Fly","39861","FBgn0010223","Galphaf","","5","4.75","moderate","No","No","Compara, eggNOG, OrthoDB, Phylome, SwiftOrtho","","Add","G2F details (Galphaf)    DRscDB Data: (Galphaf)"
"1","ENSMUSG00000000001","14679","95773","Gnai3","Fly","37805","FBgn0001123","Galphas","","4","3.82","moderate","No","No","eggNOG, OrthoDB, Phylome, SwiftOrtho","","Add","G2F details (Galphas)    DRscDB Data: (Galphas)"
"1","ENSMUSG00000000003","54192","1860484","Pbsn","","none found","","","","","","","","","","","",""
"2","ENSMUSG00000000028","12544","1338073","Cdc45","Fly","31052","FBgn0026143","Cdc45","","16","15.79","high","Yes","Yes","Compara, eggNOG, Homologene, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (Cdc45)    DRscDB Data: (Cdc45)"
"2","ENSMUSG00000000031","14955","95891","H19","","none found","","","","","","","","","","","",""
