"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","Ensmbl ID (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"0","ENSMUSG00000112465","100417054","5010572","Gm18387","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112466","432500","5588833","Gm29674","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112471","544707","3645934","Gm5779","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112473","118567778","6098273","Gm48658","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112474","108167792","5825846","Gm46209","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112481","628062","5588843","Gm29684","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112484","75025","1922275","4930473O22Rik","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112489","321017","2447826","9230116L04Rik","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112491","100503624","5011986","Gm19801","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112492","668336","3779836","Gm9111","","none found","","","","","","","","","","","",""
"0","ENSMUSG00000112493","78170","1925420","4930486F22Rik","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112495","668213","3644213","Gm9048","Fly","38062","FBgn0265574","Cdc5","","12","11.9","moderate","Yes","No","Compara, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Cdc5)    DRscDB Data: (Cdc5)"
"1","ENSMUSG00000112497","78127","1925377","4930525C09Rik","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112500","71067","1918317","4933411E08Rik","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112502","108167776","5825831","Gm46194","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112503","100417125","5010594","Gm18409","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112524","102638796","5594433","Gm35274","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112531","100040183","3780817","Gm2649","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112532","102640148","5595442","Gm36283","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112533","629206","5434114","Gm20758","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112541","668262","3647402","Gm9072","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112553","100043624","3782740","Gm4556","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112560","100418403","5011371","Gm19186","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112561","668193","3643527","Gm9035","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112569","102635888","5592270","Gm33111","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112572","665182","3644432","Gm7530","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112574","436164","3644575","Gm5750","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112575","102634209","5591008","Gm31849","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112578","102636165","5592467","Gm33308","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112582","665472","3643734","Rpl19-ps2","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112583","238199","3644853","Gm4930","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112584","100039743","3780566","Gm2398","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112588","628256","3647629","Gm6859","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112600","100040299","3780866","Gm2696","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112602","100417357","5010742","Gm18557","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112603","100417293","5010695","Gm18510","","none found","","","","","","","","","","","",""
"1","ENSMUSG00000112605","665071","3648574","Gm7476","","none found","","","","","","","","","","","",""
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","41623","FBgn0038126","CG8483","","8","7.75","moderate","Yes","No","Compara, OrthoDB, Domainoid, OrthoFinder, OrthoInspector, orthoMCL, Phylome, SwiftOrtho","","Add","G2F details (CG8483)    DRscDB Data: (CG8483)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","318150","FBgn0052679","CG32679","","6","5.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (CG32679)    DRscDB Data: (CG32679)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","32385","FBgn0030562","CG9400","","5","4.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome, SonicParanoid","","Add","G2F details (CG9400)    DRscDB Data: (CG9400)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","10178796","FBgn0261848","CG42780","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (CG42780)    DRscDB Data: (CG42780)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","41348","FBgn0037879","scpr-C","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (scpr-C)    DRscDB Data: (scpr-C)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","37441","FBgn0034624","CG17974","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (CG17974)    DRscDB Data: (CG17974)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","44079","FBgn0020508","Ag5r2","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (Ag5r2)    DRscDB Data: (Ag5r2)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","39183","FBgn0036072","CG6628","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (CG6628)    DRscDB Data: (CG6628)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","37942","FBgn0035042","CG3640","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (CG3640)    DRscDB Data: (CG3640)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","36414","FBgn0250842","CG17575","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (CG17575)    DRscDB Data: (CG17575)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","41358","FBgn0037889","scpr-A","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (scpr-A)    DRscDB Data: (scpr-A)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","44631","FBgn0015010","Ag5r","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (Ag5r)    DRscDB Data: (Ag5r)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","3885644","FBgn0054002","CG34002","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (CG34002)    DRscDB Data: (CG34002)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","41357","FBgn0037888","scpr-B","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (scpr-B)    DRscDB Data: (scpr-B)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","37440","FBgn0034623","CG9822","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (CG9822)    DRscDB Data: (CG9822)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","35303","FBgn0032853","CG10651","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (CG10651)    DRscDB Data: (CG10651)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","246645","FBgn0050486","CG30486","","4","3.9","moderate","No","No","Compara, OrthoDB, Inparanoid, Phylome","","Add","G2F details (CG30486)    DRscDB Data: (CG30486)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","14462631","FBgn0264299","CG43777","","4","3.85","moderate","No","No","Compara, OrthoDB, Phylome, SonicParanoid","","Add","G2F details (CG43777)    DRscDB Data: (CG43777)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","33408","FBgn0031407","CG4270","","4","3.85","moderate","No","No","Compara, OrthoDB, Phylome, SonicParanoid","","Add","G2F details (CG4270)    DRscDB Data: (CG4270)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","37863","FBgn0264297","CG43775","","4","3.85","moderate","No","No","Compara, OrthoDB, Phylome, SonicParanoid","","Add","G2F details (CG43775)    DRscDB Data: (CG43775)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","33413","FBgn0031412","CG16995","","4","3.85","moderate","No","No","Compara, OrthoDB, Phylome, SonicParanoid","","Add","G2F details (CG16995)    DRscDB Data: (CG16995)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","14462630","FBgn0264298","CG43776","","4","3.85","moderate","No","No","Compara, OrthoDB, Phylome, SonicParanoid","","Add","G2F details (CG43776)    DRscDB Data: (CG43776)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","40788","FBgn0260766","CG42564","","3","2.85","low","No","No","Compara, OrthoDB, Phylome","","Add","G2F details (CG42564)    DRscDB Data: (CG42564)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","39181","FBgn0036070","CG8072","","3","2.85","low","No","No","Compara, OrthoDB, Phylome","","Add","G2F details (CG8072)    DRscDB Data: (CG8072)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","246647","FBgn0050488","antr","","3","2.85","low","No","No","Compara, OrthoDB, Phylome","","Add","G2F details (antr)    DRscDB Data: (antr)"
"2","ENSMUSG00000112611","544736","3620621","Glipr1l3","Fly","3885620","FBgn0054049","CG34049","","3","2.85","low","No","No","Compara, OrthoDB, Phylome","","Add","G2F details (CG34049)    DRscDB Data: (CG34049)"
"2","ENSMUSG00000112614","668187","3646677","Gm9030","","none found","","","","","","","","","","","",""
"2","ENSMUSG00000112624","100418206","5011259","Gm19074","","none found","","","","","","","","","","","",""
"2","ENSMUSG00000112625","100040150","3780796","Gm2628","","none found","","","","","","","","","","","",""
"2","ENSMUSG00000112627","71086","1918336","4933412E12Rik","","none found","","","","","","","","","","","",""
"2","ENSMUSG00000112630","102640972","5596067","Gm36908","","none found","","","","","","","","","","","",""
"2","ENSMUSG00000112632","100043547","3782695","Gm4510","","none found","","","","","","","","","","","",""
"2","ENSMUSG00000112639","100504703","2443898","A730063M14Rik","","none found","","","","","","","","","","","",""
"3","ENSMUSG00000112640","102635315","5591846","Gm32687","Fly","34592","FBgn0020309","crol","","2","1.95","moderate","Yes","No","Inparanoid, orthoMCL","","Add","G2F details (crol)    DRscDB Data: (crol)"
"3","ENSMUSG00000112640","102635315","5591846","Gm32687","Fly","41530","FBgn0038047","CG5245","","2","1.9","moderate","Yes","No","Hieranoid, orthoMCL","","Add","G2F details (CG5245)    DRscDB Data: (CG5245)"
"3","ENSMUSG00000112642","100415978","5010034","Gm17849","","none found","","","","","","","","","","","",""
"3","ENSMUSG00000112643","100503432","5011873","Gm19688","","none found","","","","","","","","","","","",""
"3","ENSMUSG00000112646","435309","3645051","Gm5654","","none found","","","","","","","","","","","",""
"3","ENSMUSG00000112650","382601","3647558","Gm5184","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112653","102639995","5595335","Gm36176","Fly","170876","FBgn0046873","Pif2","","1","1","low","Yes","Yes","SwiftOrtho","","Add","G2F details (Pif2)    DRscDB Data: (Pif2)"
"4","ENSMUSG00000112654","73990","1921240","4930455C13Rik","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112657","724112","3628444","BC106175","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112663","328075","5439405","C630031E19Rik","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112670","100416327","5010227","Gm18042","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112671","100416773","5010427","Gm18242","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112673","664936","3644069","Gm7413","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112676","102636776","5012293","Gm20108","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112685","105244893","5623306","Gm40421","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112687","100417873","5011056","Gm18871","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112691","667519","3646579","Gm8681","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112692","100418205","5011258","Gm19073","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112693","433224","3645436","Gm5512","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112697","666501","3647467","Gm8137","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112698","115487380","3645975","Gm7525","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112701","69522","1916772","2310002D06Rik","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112703","100416326","5010226","Gm18041","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112704","108167972","5825966","Gm46329","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112707","442820","3045284","D830005E20Rik","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112709","100502820","5011580","Gm19395","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112712","100417674","5010940","Gm18755","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112714","216082","3644096","Gm4798","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112716","74912","1922162","4930471E19Rik","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112717","622812","3644102","Gm6362","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112719","105661729","5825562","Gm45925","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112720","100418282","5011301","Gm19116","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112727","100126821","5009980","Gm17794","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112730","78056","1925306","4930567K20Rik","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112739","100502868","5295703","Gm20597","","none found","","","","","","","","","","","",""
"4","ENSMUSG00000112740","666738","3647363","Gm8264","","none found","","","","","","","","","","","",""
"5","ENSMUSG00000112743","103466","3513266","Nt5dc3","Fly","35984","FBgn0033426","CG1814","","15","14.79","high","Yes","Yes","Compara, eggNOG, Homologene, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (CG1814)    DRscDB Data: (CG1814)"
"5","ENSMUSG00000112753","73892","1921142","4930423D24Rik","","none found","","","","","","","","","","","",""
"5","ENSMUSG00000112754","668380","3645742","Gm9139","","none found","","","","","","","","","","","",""
"5","ENSMUSG00000112755","108167771","5825827","Gm46190","","none found","","","","","","","","","","","",""
"5","ENSMUSG00000112762","74881","1922131","4930459C07Rik","","none found","","","","","","","","","","","",""
"5","ENSMUSG00000112763","102637514","5593463","Gm34304","","none found","","","","","","","","","","","",""
"5","ENSMUSG00000112765","77290","1924540","9430078K24Rik","","none found","","","","","","","","","","","",""
"5","ENSMUSG00000112769","667688","3815013","Rpl17-ps2","","none found","","","","","","","","","","","",""
"5","ENSMUSG00000112776","629608","3645400","Gm6989","","none found","","","","","","","","","","","",""
"5","ENSMUSG00000112778","102636674","5592836","Gm33677","","none found","","","","","","","","","","","",""
"6","ENSMUSG00000112781","668209","3647143","Gm9046","Fly","38062","FBgn0265574","Cdc5","","12","11.9","moderate","Yes","No","Compara, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Cdc5)    DRscDB Data: (Cdc5)"
"6","ENSMUSG00000112782","666127","3643723","Gm7940","","none found","","","","","","","","","","","",""
"6","ENSMUSG00000112792","328061","5621292","Gm38407","","none found","","","","","","","","","","","",""
"6","ENSMUSG00000112802","100418111","5011190","Gm19005","","none found","","","","","","","","","","","",""
"6","ENSMUSG00000112805","102637874","5593733","Gm34574","","none found","","","","","","","","","","","",""
"6","ENSMUSG00000112811","664952","3644726","Gm7422","","none found","","","","","","","","","","","",""
"6","ENSMUSG00000112812","102638980","6096352","Gm47415","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112814","668198","3643524","Gm9040","Fly","38062","FBgn0265574","Cdc5","","12","11.9","moderate","Yes","No","Compara, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Cdc5)    DRscDB Data: (Cdc5)"
"7","ENSMUSG00000112821","73592","1920842","1700104L18Rik","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112831","102639153","5594692","Gm35533","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112832","75813","1923063","4930484H19Rik","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112833","102640560","5595754","Gm36595","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112835","102639992","5595332","Gm36173","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112840","100504078","5012234","Gm20049","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112846","74647","1921897","4930432O09Rik","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112849","100416324","5010225","Gm18040","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112850","668453","3644170","Gm9176","","none found","","","","","","","","","","","",""
"7","ENSMUSG00000112854","216377","5621288","Gm38403","","none found","","","","","","","","","","","",""
"8","ENSMUSG00000112856","100043235","3782485","Gm4305","Fly","44029","FBgn0010774","Ref1","","10","10.07","moderate","Yes","No","OrthoDB, Domainoid, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Ref1)    DRscDB Data: (Ref1)"
"8","ENSMUSG00000112856","100043235","3782485","Gm4305","Fly","34667","FBgn0032439","Ref2","","5","5.02","moderate","No","No","OrthoDB, OrthoFinder, Panther, Phylome, SwiftOrtho","","Add","G2F details (Ref2)    DRscDB Data: (Ref2)"
"9","ENSMUSG00000112858","102632837","5589964","Rnf212b","Fly","318572","FBgn0051053","nenya","","9","8.93","high","Yes","Yes","Compara, OrthoDB, Hieranoid, Inparanoid, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (nenya)    DRscDB Data: (nenya)"
"9","ENSMUSG00000112858","102632837","5589964","Rnf212b","Fly","32932","FBgn0031018","narya","","9","8.93","high","Yes","Yes","Compara, OrthoDB, Hieranoid, Inparanoid, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (narya)    DRscDB Data: (narya)"
"9","ENSMUSG00000112858","102632837","5589964","Rnf212b","Fly","31264","FBgn0283545","vilya","","3","3","moderate","No","Yes","OrthoFinder, orthoMCL, Panther","","Add","G2F details (vilya)    DRscDB Data: (vilya)"
"9","ENSMUSG00000112863","100418393","5011366","Gm19181","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112871","102638971","5594563","Gm35404","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112880","100504661","5012522","Gm20337","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112885","101056238","5588966","Gm29807","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112886","100416961","5010524","Gm18339","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112892","667407","3648168","Gm8613","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112893","672902","3779991","Gm9583","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112896","667438","3647678","Gm8633","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112899","75067","1922317","4930521O17Rik","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112903","546472","3645376","Gm5948","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112906","100416680","5010374","Gm18189","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112908","664891","3648358","Gm7392","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112910","628877","5588844","Gm29685","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112912","118567789","6097530","Gm48160","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112913","102632897","5590012","Gm30853","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112915","100416440","5010297","Gm18112","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112916","100417460","5010807","Gm18622","","none found","","","","","","","","","","","",""
"9","ENSMUSG00000112918","100416457","5010305","Gm18120","","none found","","","","","","","","","","","",""
"10","ENSMUSG00000112919","668216","3644216","Gm9049","Fly","38062","FBgn0265574","Cdc5","","11","10.9","moderate","Yes","No","Compara, orthoMCL, Panther, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, Phylome, SonicParanoid","","Add","G2F details (Cdc5)    DRscDB Data: (Cdc5)"
"10","ENSMUSG00000112920","380709","2685728","Spata22","","none found","","","","","","","","","","","",""
"10","ENSMUSG00000112923","667697","3643663","Gm8768","","none found","","","","","","","","","","","",""
"10","ENSMUSG00000112924","75878","1923128","4930579P08Rik","","none found","","","","","","","","","","","",""
"10","ENSMUSG00000112925","102634101","5590922","Gm31763","","none found","","","","","","","","","","","",""
"10","ENSMUSG00000112930","632412","3648861","Gm7086","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112931","100043231","3782483","Gm4303","Fly","44029","FBgn0010774","Ref1","","10","10.07","moderate","Yes","No","OrthoDB, Domainoid, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Ref1)    DRscDB Data: (Ref1)"
"11","ENSMUSG00000112931","100043231","3782483","Gm4303","Fly","34667","FBgn0032439","Ref2","","5","5.02","moderate","No","No","OrthoDB, OrthoFinder, Panther, Phylome, SwiftOrtho","","Add","G2F details (Ref2)    DRscDB Data: (Ref2)"
"11","ENSMUSG00000112946","668633","3646236","Gm9280","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112949","100862231","5439390","Gm21939","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112957","75278","1922528","4930547H16Rik","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112959","102635522","5591993","Gm32834","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112963","619715","3648840","Gm6093","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112966","100417281","5010684","Gm18499","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112967","73867","1921117","4930428E07Rik","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112974","100416308","5010211","Gm18026","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112978","100417419","5010786","Gm18601","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112979","667440","3645518","Gm8634","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112980","319545","2442237","D430020J02Rik","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000112986","100039262","3780293","Gm2123","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000113000","606512","3645582","Gm6049","","none found","","","","","","","","","","","",""
"11","ENSMUSG00000113001","105245024","5623423","Gm40538","","none found","","","","","","","","","","","",""
