"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","Ensmbl ID (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"1","ENSMUSG00000035311","432486","3643902","Gnptab","Fly","35943","FBgn0033392","CG8027","","14","13.73","high","Yes","Yes","Compara, eggNOG, Isobase, TreeFam, Domainoid, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (CG8027)    DRscDB Data: (CG8027)"
"2","ENSMUSG00000035314","233552","2686926","Gdpd5","Fly","41997","FBgn0038432","CG14883","","2","1.81","moderate","Yes","No","eggNOG, Phylome","","Add","G2F details (CG14883)    DRscDB Data: (CG14883)"
"3","ENSMUSG00000035325","69162","1916412","Sec31a","Fly","35877","FBgn0033339","Sec31","","15","14.79","high","Yes","Yes","Compara, eggNOG, Homologene, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (Sec31)    DRscDB Data: (Sec31)"
"4","ENSMUSG00000035329","70611","1917861","Fbxo33","Fly","39043","FBgn0035959","CG4911","","15","14.79","high","Yes","Yes","Compara, eggNOG, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid, SwiftOrtho","","Add","G2F details (CG4911)    DRscDB Data: (CG4911)"
"5","ENSMUSG00000035337","93841","1890440","Uchl4","Fly","33397","FBgn0010288","Uch","","15","14.82","high","Yes","Yes","eggNOG, Isobase, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (Uch)    DRscDB Data: (Uch)"
"6","ENSMUSG00000035342","226154","2385095","Lzts2","Fly","31829","FBgn0030077","CG15365","","8","7.77","high","Yes","Yes","Compara, eggNOG, Hieranoid, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (CG15365)    DRscDB Data: (CG15365)"
"7","ENSMUSG00000035351","69736","1919964","Nup37","Fly","43040","FBgn0039301","Nup37","","15","14.79","high","Yes","Yes","Compara, eggNOG, Homologene, TreeFam, Domainoid, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, SonicParanoid","","Add","G2F details (Nup37)    DRscDB Data: (Nup37)"
"7","ENSMUSG00000035352","20293","108224","Ccl12","","none found","","","","","","","","","","","",""
"8","ENSMUSG00000035354","78610","1925860","Uvrag","Fly","34735","FBgn0032499","Uvrag","","11","10.7","high","Yes","Yes","Compara, eggNOG, TreeFam, Domainoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Uvrag)    DRscDB Data: (Uvrag)"
"9","ENSMUSG00000035355","380728","2156184","Kcnh4","Fly","37047","FBgn0011589","Elk","","14","13.76","moderate","Yes","No","Compara, eggNOG, OrthoDB, TreeFam, Domainoid, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (Elk)    DRscDB Data: (Elk)"
"9","ENSMUSG00000035355","380728","2156184","Kcnh4","Fly","37843","FBgn0003353","sei","","6","5.74","moderate","No","No","Compara, eggNOG, OrthoFinder, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (sei)    DRscDB Data: (sei)"
"9","ENSMUSG00000035355","380728","2156184","Kcnh4","Fly","32428","FBgn0000535","eag","","4","3.91","moderate","No","No","OrthoFinder, Phylome, SonicParanoid, SwiftOrtho","","Add","G2F details (eag)    DRscDB Data: (eag)"
"9","ENSMUSG00000035355","380728","2156184","Kcnh4","Fly","36806","FBgn0261612","CngA","","3","2.84","low","No","No","Compara, Phylome, SwiftOrtho","","Add","G2F details (CngA)    DRscDB Data: (CngA)"
"9","ENSMUSG00000035355","380728","2156184","Kcnh4","Fly","32468","FBgn0263257","Cngl","","3","2.84","low","No","No","Compara, Phylome, SwiftOrtho","","Add","G2F details (Cngl)    DRscDB Data: (Cngl)"
"9","ENSMUSG00000035355","380728","2156184","Kcnh4","Fly","37479","FBgn0266346","CngB","","3","2.84","low","No","No","Compara, Phylome, SwiftOrtho","","Add","G2F details (CngB)    DRscDB Data: (CngB)"
"9","ENSMUSG00000035355","380728","2156184","Kcnh4","Fly","36589","FBgn0263397","Ih","","3","2.81","low","No","No","eggNOG, Phylome, SwiftOrtho","","Add","G2F details (Ih)    DRscDB Data: (Ih)"
"10","ENSMUSG00000035356","80859","1931595","Nfkbiz","Fly","41087","FBgn0014018","Rel","","2","1.91","moderate","Yes","No","Phylome, SwiftOrtho","","Add","G2F details (Rel)    DRscDB Data: (Rel)"
"10","ENSMUSG00000035356","80859","1931595","Nfkbiz","Fly","33768","FBgn0016920","nompC","","2","1.91","moderate","Yes","No","Phylome, SwiftOrtho","","Add","G2F details (nompC)    DRscDB Data: (nompC)"
"10","ENSMUSG00000035356","80859","1931595","Nfkbiz","Fly","43770","FBgn0011747","Ank","","2","1.91","moderate","Yes","No","Phylome, SwiftOrtho","","Add","G2F details (Ank)    DRscDB Data: (Ank)"
"10","ENSMUSG00000035356","80859","1931595","Nfkbiz","Fly","38863","FBgn0261788","Ank2","","2","1.91","moderate","Yes","No","Phylome, SwiftOrtho","","Add","G2F details (Ank2)    DRscDB Data: (Ank2)"
"10","ENSMUSG00000035356","80859","1931595","Nfkbiz","Fly","43387","FBgn0039590","CG10011","","2","1.91","moderate","Yes","No","Phylome, SwiftOrtho","","Add","G2F details (CG10011)    DRscDB Data: (CG10011)"
"11","ENSMUSG00000035357","55983","1933157","Pdzrn3","Fly","43809","FBgn0024728","Slip1","","12","11.87","moderate","Yes","No","Compara, eggNOG, TreeFam, Domainoid, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, SonicParanoid","","Add","G2F details (Slip1)    DRscDB Data: (Slip1)"
"11","ENSMUSG00000035365","75317","1922567","Parpbp","","none found","","","","","","","","","","","",""
"12","ENSMUSG00000035367","74386","1921636","Rmi1","Fly","39612","FBgn0036450","Tdrd3","","1","0.9","low","Yes","No","eggNOG","","Add","G2F details (Tdrd3)    DRscDB Data: (Tdrd3)"
"12","ENSMUSG00000035371","382206","2446773","Ssx9","","none found","","","","","","","","","","","",""
"13","ENSMUSG00000035372","72056","1919306","1810055G02Rik","Fly","318843","FBgn0263256","CG43394","","1","1.1","low","Yes","Yes","Panther","","Add","G2F details (CG43394)    DRscDB Data: (CG43394)"
"13","ENSMUSG00000035372","72056","1919306","1810055G02Rik","Fly","32903","FBgn0030991","CG7453","","1","1","low","Yes","Yes","Hieranoid","","Add","G2F details (CG7453)    DRscDB Data: (CG7453)"
"13","ENSMUSG00000035372","72056","1919306","1810055G02Rik","Fly","41493","FBgn0038011","CG4066","","1","1","low","Yes","Yes","SwiftOrtho","","Add","G2F details (CG4066)    DRscDB Data: (CG4066)"
"13","ENSMUSG00000035372","72056","1919306","1810055G02Rik","Fly","33701","FBgn0003372","Sgs1","","1","1","low","Yes","Yes","SwiftOrtho","","Add","G2F details (Sgs1)    DRscDB Data: (Sgs1)"
